video,condition,period,delta,null,n_a,n_b,n_match,S,zS,p
20170710_01_02_03,visible,P3,1.0,continuous,198,172,145,0.7837837837837838,-0.8164916871625153,0.8350824587706147
20170710_01_02_03,visible,P1,1.0,grid,24,22,19,0.8260869565217391,0.6946872188656131,0.40729635182408797
20170710_01_02_03,visible,P2,1.0,grid,69,54,47,0.7642276422764228,0.1188151872966253,0.5317341329335332
20170710_01_02_03,visible,P3,1.0,grid,198,172,145,0.7837837837837838,-1.0773688271572885,0.8980509745127436
20170710_07_08_01,visible,P1,0.1,continuous,2,0,0,,,
20170710_07_08_01,visible,P2,0.1,continuous,39,42,12,0.2962962962962963,1.6303502155959826,0.0734632683658171
20170710_07_08_01,visible,P3,0.1,continuous,77,79,18,0.23076923076923078,2.2615408699111716,0.028985507246376812
20170710_07_08_01,visible,P1,0.1,grid,2,0,0,,,
20170710_07_08_01,visible,P2,0.1,grid,39,42,12,0.2962962962962963,-0.08028188614250009,0.6221889055472264
20170710_07_08_01,visible,P3,0.1,grid,77,79,18,0.23076923076923078,0.48137858134417083,0.3638180909545227
20170710_07_08_01,visible,P1,0.2,continuous,2,0,0,,,
20170710_07_08_01,visible,P2,0.2,continuous,39,42,18,0.4444444444444444,0.693243755161289,0.30484757621189407
20170710_07_08_01,visible,P3,0.2,continuous,77,79,27,0.34615384615384615,1.4654162186146682,0.09545227386306847
20170710_07_08_01,visible,P1,0.2,grid,2,0,0,,,
20170710_07_08_01,visible,P2,0.2,grid,39,42,18,0.4444444444444444,-0.5965932083644252,0.7891054472763618
20170710_07_08_01,visible,P3,0.2,grid,77,79,27,0.34615384615384615,0.20945105713237766,0.48425787106446777
20170710_07_08_01,visible,P1,0.3,continuous,2,0,0,,,
20170710_07_08_01,visible,P2,0.3,continuous,39,42,21,0.5185185185185185,-0.20832164096762923,0.6316841579210395
20170710_07_08_01,visible,P3,0.3,continuous,77,79,34,0.4358974358974359,1.2323621208671311,0.1374312843578211
20170710_07_08_01,visible,P1,0.3,grid,2,0,0,,,
20170710_07_08_01,visible,P2,0.3,grid,39,42,21,0.5185185185185185,-0.7276347990390831,0.8220889555222389
20170710_07_08_01,visible,P3,0.3,grid,77,79,34,0.4358974358974359,0.6094963068274573,0.33233383308345826
20170710_07_08_01,visible,P1,0.5,continuous,2,0,0,,,
20170710_07_08_01,visible,P2,0.5,continuous,39,42,22,0.5432098765432098,-1.124437678295026,0.8960519740129935
20170710_07_08_01,visible,P3,0.5,continuous,77,79,40,0.5128205128205128,1.4243348936584557,0.08545727136431784
20170710_07_08_01,visible,P1,0.5,grid,2,0,0,,,
20170710_07_08_01,visible,P2,0.5,grid,39,42,22,0.5432098765432098,-1.265384663200622,0.9335332333833083
20170710_07_08_01,visible,P3,0.5,grid,77,79,40,0.5128205128205128,1.2136435623383612,0.12393803098450774
20170710_07_08_01,visible,P1,1.0,continuous,2,0,0,,,
20170710_07_08_01,visible,P2,1.0,continuous,39,42,22,0.5432098765432098,-1.6336283368619242,0.9785107446276862
20170710_07_08_01,visible,P3,1.0,continuous,77,79,41,0.5256410256410257,0.8859786234390706,0.19440279860069964
20170710_07_08_01,visible,P1,1.0,grid,2,0,0,,,
20170710_07_08_01,visible,P2,1.0,grid,39,42,22,0.5432098765432098,-1.5767312848197512,0.9780109945027486
20170710_07_08_01,visible,P3,1.0,grid,77,79,41,0.5256410256410257,0.8010809238527838,0.22138930534732634
20170710_07_08_02,visible,P1,0.1,continuous,21,16,7,0.3783783783783784,1.2784850693091272,0.17541229385307347
20170710_07_08_02,visible,P2,0.1,continuous,29,38,8,0.23880597014925373,1.1409918819835736,0.16841579210394803
20170710_07_08_02,visible,P3,0.1,continuous,41,34,13,0.3466666666666667,2.1974626840862963,0.03698150924537731
20170710_07_08_02,visible,P1,0.1,grid,21,16,7,0.3783783783783784,-0.03787011401408521,0.5987006496751625
20170710_07_08_02,visible,P2,0.1,grid,29,38,8,0.23880597014925373,-0.10235224860139236,0.6096951524237881
20170710_07_08_02,visible,P3,0.1,grid,41,34,13,0.3466666666666667,0.5020346419193025,0.351824087956022
20170710_07_08_02,visible,P1,0.2,continuous,21,16,9,0.4864864864864865,-0.28219873925359196,0.7271364317841079
20170710_07_08_02,visible,P2,0.2,continuous,29,38,11,0.3283582089552239,-0.010748263546025297,0.6111944027986007
20170710_07_08_02,visible,P3,0.2,continuous,41,34,23,0.6133333333333333,2.8188539629293534,0.0034982508745627187
20170710_07_08_02,visible,P1,0.2,grid,21,16,9,0.4864864864864865,-1.127704975674964,0.8980509745127436
20170710_07_08_02,visible,P2,0.2,grid,29,38,11,0.3283582089552239,-0.8422767075516582,0.8195902048975512
20170710_07_08_02,visible,P3,0.2,grid,41,34,23,0.6133333333333333,1.675785131716476,0.06346826586706647
20170710_07_08_02,visible,P1,0.3,continuous,21,16,10,0.5405405405405406,-1.1362264221855354,0.9205397301349325
20170710_07_08_02,visible,P2,0.3,continuous,29,38,13,0.3880597014925373,-0.7605558886177286,0.7956021989005497
20170710_07_08_02,visible,P3,0.3,continuous,41,34,25,0.6666666666666666,1.8830335648188166,0.0239880059970015
20170710_07_08_02,visible,P1,0.3,grid,21,16,10,0.5405405405405406,-1.612877638885695,0.9640179910044977
20170710_07_08_02,visible,P2,0.3,grid,29,38,13,0.3880597014925373,-1.1210012435586543,0.8650674662668666
20170710_07_08_02,visible,P3,0.3,grid,41,34,25,0.6666666666666666,1.4776196244609285,0.095952023988006
20170710_07_08_02,visible,P1,0.5,continuous,21,16,13,0.7027027027027027,0.4400999709452571,0.5747126436781609
20170710_07_08_02,visible,P2,0.5,continuous,29,38,14,0.417910447761194,-1.1106504033899447,0.8595702148925537
20170710_07_08_02,visible,P3,0.5,continuous,41,34,25,0.6666666666666666,1.2643751504827276,0.16091954022988506
20170710_07_08_02,visible,P1,0.5,grid,21,16,13,0.7027027027027027,0.19234213488970872,0.638680659670165
20170710_07_08_02,visible,P2,0.5,grid,29,38,14,0.417910447761194,-1.2594213204007858,0.8995502248875562
20170710_07_08_02,visible,P3,0.5,grid,41,34,25,0.6666666666666666,1.1831877205692005,0.19490254872563717
20170710_07_08_02,visible,P1,1.0,continuous,21,16,14,0.7567567567567568,0.9246245362870018,0.3453273363318341
20170710_07_08_02,visible,P2,1.0,continuous,29,38,16,0.47761194029850745,-0.8199616823322842,0.8050974512743628
20170710_07_08_02,visible,P3,1.0,continuous,41,34,25,0.6666666666666666,0.9809723061208947,0.2563718140929535
20170710_07_08_02,visible,P1,1.0,grid,21,16,14,0.7567567567567568,0.7668440440777766,0.383808095952024
20170710_07_08_02,visible,P2,1.0,grid,29,38,16,0.47761194029850745,-0.944593084376369,0.8365817091454273
20170710_07_08_02,visible,P3,1.0,grid,41,34,25,0.6666666666666666,0.8361671431181584,0.29985007496251875
20170710_07_08_03,visible,P1,0.1,continuous,15,14,5,0.3448275862068966,0.5819314467455354,0.3548225887056472
20170710_07_08_03,visible,P2,0.1,continuous,49,44,18,0.3870967741935484,2.483965037794691,0.0069965017491254375
20170710_07_08_03,visible,P3,0.1,continuous,73,76,22,0.2953020134228188,2.3544480538326744,0.017491254372813594
20170710_07_08_03,visible,P1,0.1,grid,15,14,5,0.3448275862068966,-0.7064408359100472,0.8545727136431784
20170710_07_08_03,visible,P2,0.1,grid,49,44,18,0.3870967741935484,0.6051737199924705,0.3568215892053973
20170710_07_08_03,visible,P3,0.1,grid,73,76,22,0.2953020134228188,0.1417433634752908,0.49725137431284355
20170710_07_08_03,visible,P1,0.2,continuous,15,14,8,0.5517241379310345,-0.10422324368169329,0.6336831584207896
20170710_07_08_03,visible,P2,0.2,continuous,49,44,26,0.5591397849462365,1.819171340058434,0.046476761619190406
20170710_07_08_03,visible,P3,0.2,continuous,73,76,35,0.4697986577181208,1.6191152070844301,0.06696651674162919
20170710_07_08_03,visible,P1,0.2,grid,15,14,8,0.5517241379310345,-1.3833230393902642,0.9870064967516242
20170710_07_08_03,visible,P2,0.2,grid,49,44,26,0.5591397849462365,0.5670154768389682,0.39730134932533734
20170710_07_08_03,visible,P3,0.2,grid,73,76,35,0.4697986577181208,0.24495917533388817,0.49325337331334335
20170710_07_08_03,visible,P1,0.3,continuous,15,14,10,0.6896551724137931,-0.33184854211846543,0.7661169415292354
20170710_07_08_03,visible,P2,0.3,continuous,49,44,28,0.6021505376344086,0.5914656482619868,0.3683158420789605
20170710_07_08_03,visible,P3,0.3,continuous,73,76,43,0.5771812080536913,1.5230567908594221,0.06946526736631684
20170710_07_08_03,visible,P1,0.3,grid,15,14,10,0.6896551724137931,-1.032729349563081,0.9425287356321839
20170710_07_08_03,visible,P2,0.3,grid,49,44,28,0.6021505376344086,-0.07941117379457671,0.6166916541729135
20170710_07_08_03,visible,P3,0.3,grid,73,76,43,0.5771812080536913,1.0330675913890672,0.20389805097451275
20170710_07_08_03,visible,P1,0.5,continuous,15,14,12,0.8275862068965517,0.7518375362592159,0.5052473763118441
20170710_07_08_03,visible,P2,0.5,continuous,49,44,29,0.6236559139784946,-0.056352301261478346,0.6081959020489756
20170710_07_08_03,visible,P3,0.5,continuous,73,76,45,0.6040268456375839,1.0687307010549127,0.20039980009995004
20170710_07_08_03,visible,P1,0.5,grid,15,14,12,0.8275862068965517,0.5531890581962507,0.6041979010494752
20170710_07_08_03,visible,P2,0.5,grid,49,44,29,0.6236559139784946,-0.2951901134560821,0.7211394302848576
20170710_07_08_03,visible,P3,0.5,grid,73,76,45,0.6040268456375839,1.0109600169730624,0.22488755622188905
20170710_07_08_03,visible,P1,1.0,continuous,15,14,12,0.8275862068965517,0.5220330662005342,0.6411794102948526
20170710_07_08_03,visible,P2,1.0,continuous,49,44,29,0.6236559139784946,-0.47161046368843507,0.7691154422788605
20170710_07_08_03,visible,P3,1.0,continuous,73,76,46,0.6174496644295302,0.8671383968961652,0.26486756621689156
20170710_07_08_03,visible,P1,1.0,grid,15,14,12,0.8275862068965517,0.4212477130416129,0.7031484257871065
20170710_07_08_03,visible,P2,1.0,grid,49,44,29,0.6236559139784946,-0.665344903297281,0.8385807096451774
20170710_07_08_03,visible,P3,1.0,grid,73,76,46,0.6174496644295302,0.9845753129580629,0.24737631184407796
20170714_01_02_01,visible,P1,0.1,continuous,26,21,12,0.5106382978723404,2.1543504892547336,0.017491254372813594
20170714_01_02_01,visible,P2,0.1,continuous,60,63,27,0.43902439024390244,1.94616251074632,0.0384807596201899
20170714_01_02_01,visible,P3,0.1,continuous,165,177,74,0.4327485380116959,4.1819767254894975,0.0004997501249375312
20170714_01_02_01,visible,P1,0.1,grid,26,21,12,0.5106382978723404,0.5905721878884,0.39030484757621187
20170714_01_02_01,visible,P2,0.1,grid,60,63,27,0.43902439024390244,-0.20478514838826758,0.6061969015492253
20170714_01_02_01,visible,P3,0.1,grid,165,177,74,0.4327485380116959,0.07534113759795251,0.5242378810594702
20170714_01_02_01,visible,P1,0.2,continuous,26,21,16,0.6808510638297872,1.031471390013902,0.2353823088455772
20170714_01_02_01,visible,P2,0.2,continuous,60,63,45,0.7317073170731707,2.067057985030707,0.038980509745127435
20170714_01_02_01,visible,P3,0.2,continuous,165,177,115,0.672514619883041,3.0495063689918793,0.0004997501249375312
20170714_01_02_01,visible,P1,0.2,grid,26,21,16,0.6808510638297872,-0.2524825731740762,0.7396301849075462
20170714_01_02_01,visible,P2,0.2,grid,60,63,45,0.7317073170731707,0.00810157784765969,0.5762118940529735
20170714_01_02_01,visible,P3,0.2,grid,165,177,115,0.672514619883041,-0.329066219591151,0.6781609195402298
20170714_01_02_01,visible,P1,0.3,continuous,26,21,20,0.851063829787234,1.984637453328986,0.050974512743628186
20170714_01_02_01,visible,P2,0.3,continuous,60,63,50,0.8130081300813008,0.8501144946503802,0.280359820089955
20170714_01_02_01,visible,P3,0.3,continuous,165,177,131,0.7660818713450293,1.4681124701367716,0.08895552223888056
20170714_01_02_01,visible,P1,0.3,grid,26,21,20,0.851063829787234,1.8147007921725629,0.09395302348825588
20170714_01_02_01,visible,P2,0.3,grid,60,63,50,0.8130081300813008,0.10774779349636482,0.5742128935532234
20170714_01_02_01,visible,P3,0.3,grid,165,177,131,0.7660818713450293,0.12201101559170843,0.5017491254372813
20170714_01_02_01,visible,P1,0.5,continuous,26,21,20,0.851063829787234,1.7146309409182754,0.1184407796101949
20170714_01_02_01,visible,P2,0.5,continuous,60,63,50,0.8130081300813008,-0.18341964206157035,0.6666666666666666
20170714_01_02_01,visible,P3,0.5,continuous,165,177,136,0.7953216374269005,0.7191995162754009,0.28735632183908044
20170714_01_02_01,visible,P1,0.5,grid,26,21,20,0.851063829787234,1.6777083221364761,0.12093953023488256
20170714_01_02_01,visible,P2,0.5,grid,60,63,50,0.8130081300813008,-0.3814204928995374,0.7296351824087957
20170714_01_02_01,visible,P3,0.5,grid,165,177,136,0.7953216374269005,0.3024915420324631,0.41179410294852575
20170714_01_02_01,visible,P1,1.0,continuous,26,21,20,0.851063829787234,1.5495409258594797,0.14642678660669664
20170714_01_02_01,visible,P2,1.0,continuous,60,63,50,0.8130081300813008,-0.3163588392676102,0.7166416791604198
20170714_01_02_01,visible,P3,1.0,continuous,165,177,137,0.8011695906432749,0.42735513888746807,0.38630684657671166
20170714_01_02_01,visible,P1,1.0,grid,26,21,20,0.851063829787234,1.3982044332834196,0.17341329335332334
20170714_01_02_01,visible,P2,1.0,grid,60,63,50,0.8130081300813008,-0.4334681420682359,0.7406296851574213
20170714_01_02_01,visible,P3,1.0,grid,165,177,137,0.8011695906432749,0.20543811574195445,0.4527736131934033
20170714_01_02_02,visible,P1,0.1,continuous,23,24,8,0.3404255319148936,0.043093110416708144,0.5647176411794103
20170714_01_02_02,visible,P2,0.1,continuous,65,59,32,0.5161290322580645,3.033979035606422,0.0004997501249375312
20170714_01_02_02,visible,P3,0.1,continuous,157,198,83,0.4676056338028169,5.063217261153894,0.0004997501249375312
20170714_01_02_02,visible,P1,0.1,grid,23,24,8,0.3404255319148936,-1.5670926656932884,0.9585207396301849
20170714_01_02_02,visible,P2,0.1,grid,65,59,32,0.5161290322580645,0.6814465883134414,0.2983508245877061
20170714_01_02_02,visible,P3,0.1,grid,157,198,83,0.4676056338028169,0.7746436875461232,0.24737631184407796
20170714_01_02_02,visible,P1,0.2,continuous,23,24,18,0.7659574468085106,1.1825960968808813,0.1839080459770115
20170714_01_02_02,visible,P2,0.2,continuous,65,59,43,0.6935483870967742,1.4016518376294642,0.0864567716141929
20170714_01_02_02,visible,P3,0.2,continuous,157,198,123,0.6929577464788732,3.8425903872147487,0.0004997501249375312
20170714_01_02_02,visible,P1,0.2,grid,23,24,18,0.7659574468085106,-0.2579913976082369,0.7536231884057971
20170714_01_02_02,visible,P2,0.2,grid,65,59,43,0.6935483870967742,-0.7537831456900032,0.8310844577711144
20170714_01_02_02,visible,P3,0.2,grid,157,198,123,0.6929577464788732,0.5857073793339115,0.33233383308345826
20170714_01_02_02,visible,P1,0.3,continuous,23,24,18,0.7659574468085106,-1.1374417223614943,0.9535232383808095
20170714_01_02_02,visible,P2,0.3,continuous,65,59,48,0.7741935483870968,0.5701785561578582,0.3708145927036482
20170714_01_02_02,visible,P3,0.3,continuous,157,198,138,0.7774647887323943,2.5219196626980795,0.00849575212393803
20170714_01_02_02,visible,P1,0.3,grid,23,24,18,0.7659574468085106,-1.646205223326314,0.9890054972513743
20170714_01_02_02,visible,P2,0.3,grid,65,59,48,0.7741935483870968,-0.2551093140681183,0.7066466766616691
20170714_01_02_02,visible,P3,0.3,grid,157,198,138,0.7774647887323943,1.1369138512425954,0.1629185407296352
20170714_01_02_02,visible,P1,0.5,continuous,23,24,18,0.7659574468085106,-1.4474060198555094,0.9750124937531235
20170714_01_02_02,visible,P2,0.5,continuous,65,59,49,0.7903225806451613,0.06497773332344811,0.6006996501749126
20170714_01_02_02,visible,P3,0.5,continuous,157,198,141,0.7943661971830986,1.463500548134793,0.111944027986007
20170714_01_02_02,visible,P1,0.5,grid,23,24,18,0.7659574468085106,-1.6676516066685438,0.993503248375812
20170714_01_02_02,visible,P2,0.5,grid,65,59,49,0.7903225806451613,-0.25076262463195464,0.7151424287856072
20170714_01_02_02,visible,P3,0.5,grid,157,198,141,0.7943661971830986,0.9242144636830978,0.22638680659670166
20170714_01_02_02,visible,P1,1.0,continuous,23,24,18,0.7659574468085106,-1.4582348753913987,0.9835082458770614
20170714_01_02_02,visible,P2,1.0,continuous,65,59,50,0.8064516129032258,0.30085460145255105,0.4892553723138431
20170714_01_02_02,visible,P3,1.0,continuous,157,198,141,0.7943661971830986,1.1594386861851265,0.16691654172913542
20170714_01_02_02,visible,P1,1.0,grid,23,24,18,0.7659574468085106,-1.6728521530516445,0.9920039980009995
20170714_01_02_02,visible,P2,1.0,grid,65,59,50,0.8064516129032258,0.10855008043760847,0.5652173913043478
20170714_01_02_02,visible,P3,1.0,grid,157,198,141,0.7943661971830986,0.7227093185483894,0.3058470764617691
20170714_01_02_03,visible,P1,0.1,continuous,24,26,14,0.56,2.549639388023588,0.0004997501249375312
20170714_01_02_03,visible,P2,0.1,continuous,53,65,27,0.4576271186440678,2.9858874116315177,0.001999000499750125
20170714_01_02_03,visible,P3,0.1,continuous,170,199,86,0.46612466124661245,3.93906738014493,0.0004997501249375312
20170714_01_02_03,visible,P1,0.1,grid,24,26,14,0.56,0.8487244247552759,0.2708645677161419
20170714_01_02_03,visible,P2,0.1,grid,53,65,27,0.4576271186440678,0.4194199826160978,0.4107946026986507
20170714_01_02_03,visible,P3,0.1,grid,170,199,86,0.46612466124661245,0.20600541670226274,0.44177911044477763
20170714_01_02_03,visible,P1,0.2,continuous,24,26,19,0.76,1.6289673730436005,0.08845577211394302
20170714_01_02_03,visible,P2,0.2,continuous,53,65,37,0.6271186440677966,1.178434261600295,0.15342328835582209
20170714_01_02_03,visible,P3,0.2,continuous,170,199,127,0.6883468834688347,2.364655192398793,0.009995002498750625
20170714_01_02_03,visible,P1,0.2,grid,24,26,19,0.76,0.2659041860012596,0.5432283858070964
20170714_01_02_03,visible,P2,0.2,grid,53,65,37,0.6271186440677966,-1.1360611656539947,0.92103948025987
20170714_01_02_03,visible,P3,0.2,grid,170,199,127,0.6883468834688347,-1.6665547634074727,0.9555222388805598
20170714_01_02_03,visible,P1,0.3,continuous,24,26,21,0.84,1.178987531646423,0.22538730634682658
20170714_01_02_03,visible,P2,0.3,continuous,53,65,41,0.6949152542372882,-0.4364584427976492,0.7421289355322339
20170714_01_02_03,visible,P3,0.3,continuous,170,199,148,0.8021680216802168,1.6408773838644601,0.06096951524237881
20170714_01_02_03,visible,P1,0.3,grid,24,26,21,0.84,0.6796386999534775,0.4447776111944028
20170714_01_02_03,visible,P2,0.3,grid,53,65,41,0.6949152542372882,-1.2628871458072692,0.9355322338830585
20170714_01_02_03,visible,P3,0.3,grid,170,199,148,0.8021680216802168,0.2806001218917375,0.4752623688155922
20170714_01_02_03,visible,P1,0.5,continuous,24,26,21,0.84,0.3359827495121443,0.5557221389305347
20170714_01_02_03,visible,P2,0.5,continuous,53,65,44,0.7457627118644068,-0.3385775640945112,0.6951524237881059
20170714_01_02_03,visible,P3,0.5,continuous,170,199,150,0.8130081300813008,0.3515996708547934,0.440279860069965
20170714_01_02_03,visible,P1,0.5,grid,24,26,21,0.84,0.07321616755047505,0.6696651674162919
20170714_01_02_03,visible,P2,0.5,grid,53,65,44,0.7457627118644068,-0.568409276201776,0.7631184407796102
20170714_01_02_03,visible,P3,0.5,grid,170,199,150,0.8130081300813008,-0.10011823733286379,0.6091954022988506
20170714_01_02_03,visible,P1,1.0,continuous,24,26,21,0.84,0.19726573893438018,0.6071964017991005
20170714_01_02_03,visible,P2,1.0,continuous,53,65,44,0.7457627118644068,-0.5022036399133107,0.7426286856571714
20170714_01_02_03,visible,P3,1.0,continuous,170,199,151,0.8184281842818428,0.26305105769887,0.46526736631684157
20170714_01_02_03,visible,P1,1.0,grid,24,26,21,0.84,-0.02486088527018592,0.6846576711644178
20170714_01_02_03,visible,P2,1.0,grid,53,65,44,0.7457627118644068,-0.7504795090615686,0.8335832083958021
20170714_01_02_03,visible,P3,1.0,grid,170,199,151,0.8184281842818428,-0.026787795365124448,0.5812093953023488
20170714_03_04_01,visible,P1,0.1,continuous,19,24,8,0.37209302325581395,1.0336560317799954,0.22138930534732634
20170714_03_04_01,visible,P2,0.1,continuous,46,58,16,0.3076923076923077,0.9587414555785194,0.2223888055972014
20170714_03_04_01,visible,P3,0.1,continuous,140,130,46,0.34074074074074073,3.0741223681083327,0.001999000499750125
20170714_03_04_01,visible,P1,0.1,grid,19,24,8,0.37209302325581395,-0.15196749919169258,0.6331834082958521
20170714_03_04_01,visible,P2,0.1,grid,46,58,16,0.3076923076923077,-1.1397180977440893,0.8885557221389305
20170714_03_04_01,visible,P3,0.1,grid,140,130,46,0.34074074074074073,0.07160610047944921,0.5032483758120939
20170714_03_04_01,visible,P1,0.2,continuous,19,24,16,0.7441860465116279,1.9993164087207025,0.015992003998001
20170714_03_04_01,visible,P2,0.2,continuous,46,58,30,0.5769230769230769,1.1631305733594373,0.16141929035482258
20170714_03_04_01,visible,P3,0.2,continuous,140,130,76,0.562962962962963,2.641473809022658,0.006496751624187906
20170714_03_04_01,visible,P1,0.2,grid,19,24,16,0.7441860465116279,1.1375153118364918,0.19440279860069964
20170714_03_04_01,visible,P2,0.2,grid,46,58,30,0.5769230769230769,-0.7471329300681675,0.8330834582708646
20170714_03_04_01,visible,P3,0.2,grid,140,130,76,0.562962962962963,0.10306194244305801,0.47976011994003
20170714_03_04_01,visible,P1,0.3,continuous,19,24,17,0.7906976744186046,0.8719364007626684,0.3183408295852074
20170714_03_04_01,visible,P2,0.3,continuous,46,58,36,0.6923076923076923,0.31316351512025437,0.47726136931534235
20170714_03_04_01,visible,P3,0.3,continuous,140,130,96,0.7111111111111111,1.9221994632028019,0.031984007996002
20170714_03_04_01,visible,P1,0.3,grid,19,24,17,0.7906976744186046,0.38475924367166625,0.5777111444277861
20170714_03_04_01,visible,P2,0.3,grid,46,58,36,0.6923076923076923,-0.8506621766567938,0.8500749625187406
20170714_03_04_01,visible,P3,0.3,grid,140,130,96,0.7111111111111111,0.23566483723385556,0.45577211394302847
20170714_03_04_01,visible,P1,0.5,continuous,19,24,17,0.7906976744186046,-0.15510837537375688,0.8015992003998001
20170714_03_04_01,visible,P2,0.5,continuous,46,58,37,0.7115384615384616,-1.5134136740143098,0.9715142428785607
20170714_03_04_01,visible,P3,0.5,continuous,140,130,104,0.7703703703703704,0.5637303700644696,0.34782608695652173
20170714_03_04_01,visible,P1,0.5,grid,19,24,17,0.7906976744186046,-0.4387026194454162,0.889055472263868
20170714_03_04_01,visible,P2,0.5,grid,46,58,37,0.7115384615384616,-1.9461120327018198,0.9955022488755623
20170714_03_04_01,visible,P3,0.5,grid,140,130,104,0.7703703703703704,0.09847073862140007,0.5092453773113443
20170714_03_04_01,visible,P1,1.0,continuous,19,24,17,0.7906976744186046,-0.2820569117186396,0.8270864567716142
20170714_03_04_01,visible,P2,1.0,continuous,46,58,38,0.7307692307692307,-1.2957720118441292,0.9540229885057471
20170714_03_04_01,visible,P3,1.0,continuous,140,130,107,0.7925925925925926,0.6145077502938017,0.3293353323338331
20170714_03_04_01,visible,P1,1.0,grid,19,24,17,0.7906976744186046,-0.528355899807835,0.9000499750124937
20170714_03_04_01,visible,P2,1.0,grid,46,58,38,0.7307692307692307,-1.5394991814815369,0.9850074962518741
20170714_03_04_01,visible,P3,1.0,grid,140,130,107,0.7925925925925926,0.3466565703852445,0.4192903548225887
20170714_03_04_02,visible,P1,0.1,continuous,18,22,8,0.4,1.20167757081897,0.18290854572713644
20170714_03_04_02,visible,P2,0.1,continuous,52,57,21,0.3853211009174312,2.0398138141136335,0.03548225887056472
20170714_03_04_02,visible,P3,0.1,continuous,148,145,47,0.32081911262798635,1.9206916667998395,0.03248375812093953
20170714_03_04_02,visible,P1,0.1,grid,18,22,8,0.4,0.028144515243274777,0.5777111444277861
20170714_03_04_02,visible,P2,0.1,grid,52,57,21,0.3853211009174312,-0.2693854597074176,0.6326836581709145
20170714_03_04_02,visible,P3,0.1,grid,148,145,47,0.32081911262798635,-1.0160137357115344,0.863568215892054
20170714_03_04_02,visible,P1,0.2,continuous,18,22,14,0.7,1.5906130220053691,0.054972513743128434
20170714_03_04_02,visible,P2,0.2,continuous,52,57,35,0.6422018348623854,1.792782233988888,0.06046976511744128
20170714_03_04_02,visible,P3,0.2,continuous,148,145,82,0.5597269624573379,1.6767602114515017,0.05647176411794103
20170714_03_04_02,visible,P1,0.2,grid,18,22,14,0.7,0.7244879508682497,0.3778110944527736
20170714_03_04_02,visible,P2,0.2,grid,52,57,35,0.6422018348623854,-0.1545690715961459,0.6481759120439781
20170714_03_04_02,visible,P3,0.2,grid,148,145,82,0.5597269624573379,-1.083857231862314,0.879560219890055
20170714_03_04_02,visible,P1,0.3,continuous,18,22,16,0.8,1.4967054333269245,0.10394802598700649
20170714_03_04_02,visible,P2,0.3,continuous,52,57,41,0.7522935779816514,0.5289804432791504,0.3793103448275862
20170714_03_04_02,visible,P3,0.3,continuous,148,145,109,0.7440273037542662,2.209017058119053,0.01899050474762619
20170714_03_04_02,visible,P1,0.3,grid,18,22,16,0.8,1.0406530800024345,0.2563718140929535
20170714_03_04_02,visible,P2,0.3,grid,52,57,41,0.7522935779816514,-0.9378854940699827,0.8900549725137431
20170714_03_04_02,visible,P3,0.3,grid,148,145,109,0.7440273037542662,0.5998638606826616,0.33683158420789605
20170714_03_04_02,visible,P1,0.5,continuous,18,22,16,0.8,0.5312046603754277,0.4852573713143428
20170714_03_04_02,visible,P2,0.5,continuous,52,57,44,0.8073394495412844,0.09729384338433295,0.6121939030484758
20170714_03_04_02,visible,P3,0.5,continuous,148,145,116,0.7918088737201365,1.5823804307091442,0.07746126936531735
20170714_03_04_02,visible,P1,0.5,grid,18,22,16,0.8,0.3211828824470927,0.5592203898050975
20170714_03_04_02,visible,P2,0.5,grid,52,57,44,0.8073394495412844,-0.31858938217271543,0.7486256871564217
20170714_03_04_02,visible,P3,0.5,grid,148,145,116,0.7918088737201365,1.174328229052853,0.16841579210394803
20170714_03_04_02,visible,P1,1.0,continuous,18,22,16,0.8,0.2839684218575246,0.607696151924038
20170714_03_04_02,visible,P2,1.0,continuous,52,57,44,0.8073394495412844,-0.22022044366339447,0.7376311844077961
20170714_03_04_02,visible,P3,1.0,continuous,148,145,116,0.7918088737201365,0.6507932287117368,0.3378310844577711
20170714_03_04_02,visible,P1,1.0,grid,18,22,16,0.8,0.158394214823919,0.5967016491754122
20170714_03_04_02,visible,P2,1.0,grid,52,57,44,0.8073394495412844,-0.5837086701630678,0.8185907046476761
20170714_03_04_02,visible,P3,1.0,grid,148,145,116,0.7918088737201365,0.41677420232252266,0.4337831084457771
20170714_03_04_03,visible,P1,0.1,continuous,19,22,13,0.6341463414634146,4.024931837365466,0.0004997501249375312
20170714_03_04_03,visible,P2,0.1,continuous,41,53,17,0.3617021276595745,2.211090340875291,0.027486256871564217
20170714_03_04_03,visible,P3,0.1,continuous,156,167,68,0.42105263157894735,3.771845283646081,0.0004997501249375312
20170714_03_04_03,visible,P1,0.1,grid,19,22,13,0.6341463414634146,2.1998785385338904,0.017991004497751123
20170714_03_04_03,visible,P2,0.1,grid,41,53,17,0.3617021276595745,0.23538452464839302,0.47176411794102946
20170714_03_04_03,visible,P3,0.1,grid,156,167,68,0.42105263157894735,0.2986327916670118,0.4207896051974013
20170714_03_04_03,visible,P1,0.2,continuous,19,22,16,0.7804878048780488,2.257829016020262,0.014992503748125937
20170714_03_04_03,visible,P2,0.2,continuous,41,53,31,0.6595744680851063,3.0780527029284612,0.0004997501249375312
