video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_03,visible,original,P1,22,18,16,0.8,-0.10954002581486012,0.7493250674932507
20170706_01_02_03,visible,original,P2,60,42,36,0.7058823529411765,-0.8887186416566526,0.8884111588841116
20170706_01_02_03,visible,original,P3,151,107,89,0.689922480620155,0.8668115000781031,0.22767723227677233
20170706_01_02_03,visible,second,P1,27,23,21,0.84,1.0892974055896947,0.3026697330266973
20170706_01_02_03,visible,second,P2,62,45,41,0.7663551401869159,0.6333347471369938,0.38096190380961903
20170706_01_02_03,visible,second,P3,168,116,101,0.7112676056338029,0.4899071056787647,0.37896210378962103
20170706_03_04_02,visible,original,P1,21,21,17,0.8095238095238095,-0.3452404703937404,0.8049195080491951
20170706_03_04_02,visible,original,P2,55,53,43,0.7962962962962963,0.4837515005064937,0.403959604039596
20170706_03_04_02,visible,original,P3,153,157,123,0.7935483870967742,1.3623701089595874,0.12168783121687832
20170706_03_04_02,visible,second,P1,21,25,16,0.6956521739130435,-2.4066857224919773,1.0
20170706_03_04_02,visible,second,P2,53,59,42,0.75,-0.7680286204191757,0.8641135886411359
20170706_03_04_02,visible,second,P3,151,156,115,0.749185667752443,0.7237052252706258,0.280971902809719
20170706_05_06_03,visible,original,P1,25,20,16,0.7111111111111111,-0.4025118464735314,0.779022097790221
20170706_05_06_03,visible,original,P2,59,46,42,0.8,2.1217679398830005,0.028897110288971104
20170706_05_06_03,visible,original,P3,152,147,105,0.7023411371237458,-0.8620000789207746,0.8508149185081492
20170706_05_06_03,visible,second,P1,29,21,19,0.76,0.3683745099548325,0.5575442455754425
20170706_05_06_03,visible,second,P2,63,52,42,0.7304347826086957,-1.5032516983895705,0.969003099690031
20170706_05_06_03,visible,second,P3,170,156,118,0.7239263803680982,-1.96658711575747,0.9819018098190181
20170710_01_02_01,visible,original,P1,20,23,16,0.7441860465116279,-0.5892218797899601,0.8757124287571243
20170710_01_02_01,visible,original,P2,60,49,37,0.6788990825688074,-2.3390828435221565,0.9979002099790021
20170710_01_02_01,visible,original,P3,162,153,117,0.7428571428571429,1.1296565572117625,0.1645835416458354
20170710_01_02_01,visible,second,P1,24,22,19,0.8260869565217391,0.5869598318983592,0.47795220477952205
20170710_01_02_01,visible,second,P2,69,51,43,0.7166666666666667,-0.37472354370919364,0.7761223877612239
20170710_01_02_01,visible,second,P3,171,153,121,0.7469135802469136,1.257292257915631,0.13058694130586943
20170710_07_08_01,visible,original,P1,2,0,0,,,
20170710_07_08_01,visible,original,P2,39,42,21,0.5185185185185185,-0.7231058098217542,0.8165183481651834
20170710_07_08_01,visible,original,P3,77,79,34,0.4358974358974359,0.5863954626988572,0.33686631336866313
20170710_07_08_01,visible,second,P1,4,3,2,0.5714285714285714,-0.620951507955832,0.8852114788521148
20170710_07_08_01,visible,second,P2,41,47,20,0.45454545454545453,-2.0709350842189784,0.9873012698730127
