video,condition,arm,rep,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_01,visible,null,6,P3,165,122,46,0.3205574912891986,-0.13029927413599574,0.6033966033966034
20170706_01_02_01,visible,jitter,7,P1,24,16,4,0.2,-1.5714045212088052,0.981018981018981
20170706_01_02_01,visible,jitter,7,P2,58,39,17,0.35051546391752575,0.3990448447916017,0.42657342657342656
20170706_01_02_01,visible,jitter,7,P3,162,124,50,0.34965034965034963,0.5709268088206714,0.3196803196803197
20170706_01_02_01,visible,null,7,P1,22,18,4,0.2,-1.8103009103633536,0.958041958041958
20170706_01_02_01,visible,null,7,P2,60,41,19,0.37623762376237624,0.6919183782311564,0.3306693306693307
20170706_01_02_01,visible,null,7,P3,156,121,46,0.33212996389891697,-0.015047371023276163,0.5274725274725275
20170706_01_02_01,visible,jitter,8,P1,24,15,6,0.3076923076923077,-0.2837926624424769,0.6953046953046953
20170706_01_02_01,visible,jitter,8,P2,59,39,17,0.3469387755102041,0.31713826188211564,0.4355644355644356
20170706_01_02_01,visible,jitter,8,P3,165,124,52,0.35986159169550175,0.5913079995538498,0.3096903096903097
20170706_01_02_01,visible,null,8,P1,22,16,10,0.5263157894736842,1.9417805303880251,0.058941058941058944
20170706_01_02_01,visible,null,8,P2,60,42,20,0.39215686274509803,1.0203300166869853,0.21878121878121878
20170706_01_02_01,visible,null,8,P3,159,119,56,0.4028776978417266,2.389944032118635,0.017982017982017984
20170706_01_02_01,visible,jitter,9,P1,24,16,6,0.3,-0.621079634902681,0.7982017982017982
20170706_01_02_01,visible,jitter,9,P2,60,39,14,0.2828282828282828,-0.7855113260366084,0.8361638361638362
20170706_01_02_01,visible,jitter,9,P3,162,125,54,0.37630662020905925,1.7350534079256181,0.054945054945054944
20170706_01_02_01,visible,null,9,P1,24,17,4,0.1951219512195122,-1.7491083323891825,0.985014985014985
20170706_01_02_01,visible,null,9,P2,61,41,16,0.3137254901960784,-0.5478420417032337,0.7622377622377622
20170706_01_02_01,visible,null,9,P3,160,120,43,0.30714285714285716,-0.06422544347117445,0.5594405594405595
20170706_01_02_01,visible,jitter,10,P1,25,16,6,0.2926829268292683,-0.555938926383958,0.8001998001998002
20170706_01_02_01,visible,jitter,10,P2,63,39,19,0.37254901960784315,0.9301588801953405,0.23276723276723277
20170706_01_02_01,visible,jitter,10,P3,160,125,41,0.28771929824561404,-1.1965388462638717,0.913086913086913
20170706_01_02_01,visible,null,10,P1,24,16,10,0.5,1.6354138564971687,0.07592407592407592
20170706_01_02_01,visible,null,10,P2,58,41,15,0.30303030303030304,-0.5349212073083595,0.7822177822177823
20170706_01_02_01,visible,null,10,P3,161,122,39,0.2756183745583039,-1.2248815249867249,0.9050949050949051
20170706_01_02_02,visible,real,0,P1,24,21,11,0.4888888888888889,0.6405598016077346,0.35864135864135865
20170706_01_02_02,visible,real,0,P2,57,40,23,0.4742268041237113,1.9204943725052768,0.05094905094905095
20170706_01_02_02,visible,real,0,P3,164,131,51,0.34576271186440677,-0.45483979521751156,0.6983016983016983
