n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,condition
269,192,105,-0.768463663,0.796620338,0,0,178.7,out/pair_20170706_01_02_01_timeline.csv,20170706_01_02_01,visible_pair_Human
265,205,122,0.888205509,0.211478852,0.039193729,4,178.6,out/pair_20170706_01_02_02_timeline.csv,20170706_01_02_02,visible_pair_Human
253,177,98,0.449378762,0.350764924,0,0,178.5,out/pair_20170706_01_02_03_timeline.csv,20170706_01_02_03,visible_pair_Human
236,243,128,0.648975189,0.263373663,0.039171796,4,178.7,out/pair_20170706_03_04_01_timeline.csv,20170706_03_04_01,visible_pair_Human
241,242,130,0.435773062,0.352464754,0.072910824,8,178.3,out/pair_20170706_03_04_02_timeline.csv,20170706_03_04_02,visible_pair_Human
247,276,159,1.90518806,0.03109689,0.072869955,10,178.4,out/pair_20170706_03_04_03_timeline.csv,20170706_03_04_03,visible_pair_Human
236,216,111,1.235416815,0.117288271,0.0224341,4,178.3,out/pair_20170706_05_06_01_timeline.csv,20170706_05_06_01,visible_pair_Human
273,238,129,-0.045263997,0.546745325,0.033557047,3,178.8,out/pair_20170706_05_06_02_timeline.csv,20170706_05_06_02,visible_pair_Human
263,234,128,0.436121624,0.361463854,0.027979855,5,178.7,out/pair_20170706_05_06_03_timeline.csv,20170706_05_06_03,visible_pair_Human
178,208,94,2.137263708,0.01659834,0.106921778,10,177.7,out/pair_20170706_11_12_01_timeline.csv,20170706_11_12_01,visible_pair_Human
170,205,95,2.89786598,0.00289971,0.089786756,11,178.2,out/pair_20170706_11_12_02_timeline.csv,20170706_11_12_02,visible_pair_Human
182,207,86,0.725298138,0.254474553,0.0448682,5,178.3,out/pair_20170706_11_12_03_timeline.csv,20170706_11_12_03,visible_pair_Human
258,240,139,0.838813951,0.229577042,0.056497175,4,177,out/pair_20170710_01_02_01_timeline.csv,20170710_01_02_01,visible_pair_Human
292,251,161,1.119983987,0.145185481,0.045325779,5,176.5,out/pair_20170710_01_02_02_timeline.csv,20170710_01_02_02,visible_pair_Human
306,266,181,1.535019159,0.067193281,0.056022409,4,178.5,out/pair_20170710_01_02_03_timeline.csv,20170710_01_02_03,visible_pair_Human
128,144,48,1.058479094,0.170282972,0.058927519,7,169.7,out/pair_20170710_07_08_01_timeline.csv,20170710_07_08_01,visible_pair_Human
99,93,39,0.241676921,0.446855314,0,0,95,out/pair_20170710_07_08_02_timeline.csv,20170710_07_08_02,visible_pair_Human
148,150,65,0.382979068,0.391660834,0.02210759,3,135.7,out/pair_20170710_07_08_03_timeline.csv,20170710_07_08_03,visible_pair_Human
259,273,155,0.514029708,0.315168483,0.050533408,9,178.1,out/pair_20170714_01_02_01_timeline.csv,20170714_01_02_01,visible_pair_Human
254,298,164,0.279308241,0.418358164,0.02813731,5,177.7,out/pair_20170714_01_02_02_timeline.csv,20170714_01_02_02,visible_pair_Human
256,307,161,-0.930691462,0.842615738,0.073115861,8,177.8,out/pair_20170714_01_02_03_timeline.csv,20170714_01_02_03,visible_pair_Human
216,224,101,-0.401704087,0.674432557,0.07295174,9,178.2,out/pair_20170714_03_04_01_timeline.csv,20170714_03_04_01,visible_pair_Human
236,234,109,-1.332316747,0.920007999,0,0,178.4,out/pair_20170714_03_04_02_timeline.csv,20170714_03_04_02,visible_pair_Human
234,258,133,0.573089717,0.302469753,0.028153153,5,177.6,out/pair_20170714_03_04_03_timeline.csv,20170714_03_04_03,visible_pair_Human
260,194,109,0.338284677,0.407959204,0,0,178.3,out/pair_20170714_05_06_01_timeline.csv,20170714_05_06_01,visible_pair_Human
272,210,121,0.093822699,0.483651635,0.0224341,4,178.3,out/pair_20170714_05_06_02_timeline.csv,20170714_05_06_02,visible_pair_Human
274,244,137,-0.439877813,0.690330967,0.033632287,6,178.4,out/pair_20170714_05_06_03_timeline.csv,20170714_05_06_03,visible_pair_Human
196,164,67,-0.422717864,0.676232377,0.033594625,6,178.6,out/pair_20170714_07_08_01_timeline.csv,20170714_07_08_01,visible_pair_Human
235,165,89,0.572585997,0.328467153,0.045428734,4,176.1,out/pair_20170714_07_08_02_timeline.csv,20170714_07_08_02,visible_pair_Human
227,186,95,0.809731812,0.230276972,0.044817927,4,178.5,out/pair_20170714_07_08_03_timeline.csv,20170714_07_08_03,visible_pair_Human
