n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,condition
269,192,153,-0.121820232,0.593940606,0,0,178.7,out/pair_20170706_01_02_01_timeline.csv,20170706_01_02_01,visible_pair_Human
265,205,170,2.042826569,0.02729727,0.039193729,4,178.6,out/pair_20170706_01_02_02_timeline.csv,20170706_01_02_02,visible_pair_Human
253,177,138,0.984863358,0.190080992,0,0,178.5,out/pair_20170706_01_02_03_timeline.csv,20170706_01_02_03,visible_pair_Human
236,243,178,1.51881878,0.079392061,0,0,178.7,out/pair_20170706_03_04_01_timeline.csv,20170706_03_04_01,visible_pair_Human
241,242,182,1.748591133,0.051994801,0,0,178.3,out/pair_20170706_03_04_02_timeline.csv,20170706_03_04_02,visible_pair_Human
247,276,200,2.016975272,0.02859714,0.056053812,10,178.4,out/pair_20170706_03_04_03_timeline.csv,20170706_03_04_03,visible_pair_Human
236,216,154,2.940433436,0.00209979,0.061693775,4,178.3,out/pair_20170706_05_06_01_timeline.csv,20170706_05_06_01,visible_pair_Human
273,238,175,1.156525363,0.148985101,0.027964206,5,178.8,out/pair_20170706_05_06_02_timeline.csv,20170706_05_06_02,visible_pair_Human
263,234,174,1.864021731,0.03779622,0,0,178.7,out/pair_20170706_05_06_03_timeline.csv,20170706_05_06_03,visible_pair_Human
178,208,129,2.791365112,0.00349965,0.11254924,11,177.7,out/pair_20170706_11_12_01_timeline.csv,20170706_11_12_01,visible_pair_Human
170,205,125,2.972572127,0.00239976,0.033670034,3,178.2,out/pair_20170706_11_12_02_timeline.csv,20170706_11_12_02,visible_pair_Human
182,207,123,1.073508292,0.167583242,0.0224341,4,178.3,out/pair_20170706_11_12_03_timeline.csv,20170706_11_12_03,visible_pair_Human
258,240,179,1.324626776,0.111788821,0,0,177,out/pair_20170710_01_02_01_timeline.csv,20170710_01_02_01,visible_pair_Human
292,251,205,3.68476893,0.00209979,0.02266289,4,176.5,out/pair_20170710_01_02_02_timeline.csv,20170710_01_02_02,visible_pair_Human
306,266,219,2.59601636,0.01109889,0.050420168,9,178.5,out/pair_20170710_01_02_03_timeline.csv,20170710_01_02_03,visible_pair_Human
128,144,61,0.642984533,0.295070493,0.058927519,4,169.7,out/pair_20170710_07_08_01_timeline.csv,20170710_07_08_01,visible_pair_Human
99,93,52,0.593814603,0.342165783,0,0,95,out/pair_20170710_07_08_02_timeline.csv,20170710_07_08_02,visible_pair_Human
148,150,84,0.548072615,0.338566143,0,0,135.7,out/pair_20170710_07_08_03_timeline.csv,20170710_07_08_03,visible_pair_Human
259,273,198,0.999701242,0.188581142,0,0,178.1,out/pair_20170714_01_02_01_timeline.csv,20170714_01_02_01,visible_pair_Human
254,298,202,0.100751085,0.496350365,0,0,177.7,out/pair_20170714_01_02_02_timeline.csv,20170714_01_02_02,visible_pair_Human
256,307,211,0.804473412,0.259974003,0,0,177.8,out/pair_20170714_01_02_03_timeline.csv,20170714_01_02_03,visible_pair_Human
216,224,146,0.488616628,0.347065293,0,0,178.2,out/pair_20170714_03_04_01_timeline.csv,20170714_03_04_01,visible_pair_Human
236,234,159,-0.722548635,0.801119888,0.022421525,4,178.4,out/pair_20170714_03_04_02_timeline.csv,20170714_03_04_02,visible_pair_Human
234,258,185,1.827516162,0.04229577,0.045045045,5,177.6,out/pair_20170714_03_04_03_timeline.csv,20170714_03_04_03,visible_pair_Human
260,194,146,0.058868026,0.530346965,0.016825575,3,178.3,out/pair_20170714_05_06_01_timeline.csv,20170714_05_06_01,visible_pair_Human
272,210,164,-0.011968983,0.551644836,0,0,178.3,out/pair_20170714_05_06_02_timeline.csv,20170714_05_06_02,visible_pair_Human
274,244,183,-0.342739088,0.680431957,0,0,178.4,out/pair_20170714_05_06_03_timeline.csv,20170714_05_06_03,visible_pair_Human
196,164,101,0.223445605,0.462553745,0,0,178.6,out/pair_20170714_07_08_01_timeline.csv,20170714_07_08_01,visible_pair_Human
235,165,118,-0.375625423,0.690330967,0.017035775,3,176.1,out/pair_20170714_07_08_02_timeline.csv,20170714_07_08_02,visible_pair_Human
227,186,125,-0.188884433,0.622637736,0.016806723,3,178.5,out/pair_20170714_07_08_03_timeline.csv,20170714_07_08_03,visible_pair_Human
