n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,condition
269,192,173,0.043185776,0.561743826,0,0,178.7,out/pair_20170706_01_02_01_timeline.csv,20170706_01_02_01,visible_pair_Human
265,205,182,1.467859197,0.093190681,0.027995521,5,178.6,out/pair_20170706_01_02_02_timeline.csv,20170706_01_02_02,visible_pair_Human
253,177,152,-0.008337123,0.572642736,0,0,178.5,out/pair_20170706_01_02_03_timeline.csv,20170706_01_02_03,visible_pair_Human
236,243,189,0.625145924,0.306169383,0,0,178.7,out/pair_20170706_03_04_01_timeline.csv,20170706_03_04_01,visible_pair_Human
241,242,194,1.695548419,0.064593541,0,0,178.3,out/pair_20170706_03_04_02_timeline.csv,20170706_03_04_02,visible_pair_Human
247,276,205,0.569264686,0.345365463,0.056053812,10,178.4,out/pair_20170706_03_04_03_timeline.csv,20170706_03_04_03,visible_pair_Human
236,216,171,2.829127847,0.00269973,0.061693775,11,178.3,out/pair_20170706_05_06_01_timeline.csv,20170706_05_06_01,visible_pair_Human
273,238,189,0.909757258,0.201379862,0.022371365,4,178.8,out/pair_20170706_05_06_02_timeline.csv,20170706_05_06_02,visible_pair_Human
263,234,182,0.593953242,0.317668233,0,0,178.7,out/pair_20170706_05_06_03_timeline.csv,20170706_05_06_03,visible_pair_Human
178,208,152,4.110001378,0.00159984,0.090039392,10,177.7,out/pair_20170706_11_12_01_timeline.csv,20170706_11_12_01,visible_pair_Human
170,205,145,3.796934609,0.00189981,0.022446689,4,178.2,out/pair_20170706_11_12_02_timeline.csv,20170706_11_12_02,visible_pair_Human
182,207,143,0.615164592,0.322267773,0,0,178.3,out/pair_20170706_11_12_03_timeline.csv,20170706_11_12_03,visible_pair_Human
258,240,191,1.971811324,0.03539646,0.016949153,3,177,out/pair_20170710_01_02_01_timeline.csv,20170710_01_02_01,visible_pair_Human
292,251,212,3.152635974,0.00959904,0.02266289,4,176.5,out/pair_20170710_01_02_02_timeline.csv,20170710_01_02_02,visible_pair_Human
306,266,224,1.843076264,0.04439556,0.044817927,5,178.5,out/pair_20170710_01_02_03_timeline.csv,20170710_01_02_03,visible_pair_Human
128,144,73,1.062553339,0.182781722,0,0,169.7,out/pair_20170710_07_08_01_timeline.csv,20170710_07_08_01,visible_pair_Human
99,93,58,0.626561508,0.360863914,0,0,95,out/pair_20170710_07_08_02_timeline.csv,20170710_07_08_02,visible_pair_Human
148,150,93,0.863511929,0.248975102,0,0,135.7,out/pair_20170710_07_08_03_timeline.csv,20170710_07_08_03,visible_pair_Human
259,273,206,0.594965019,0.318568143,0,0,178.1,out/pair_20170714_01_02_01_timeline.csv,20170714_01_02_01,visible_pair_Human
254,298,213,0.847684691,0.218578142,0,0,177.7,out/pair_20170714_01_02_02_timeline.csv,20170714_01_02_02,visible_pair_Human
256,307,221,1.365434127,0.119688031,0,0,177.8,out/pair_20170714_01_02_03_timeline.csv,20170714_01_02_03,visible_pair_Human
216,224,163,0.019225779,0.528447155,0,0,178.2,out/pair_20170714_03_04_01_timeline.csv,20170714_03_04_01,visible_pair_Human
236,234,183,1.234253379,0.138586141,0.039237668,4,178.4,out/pair_20170714_03_04_02_timeline.csv,20170714_03_04_02,visible_pair_Human
234,258,194,1.157494004,0.150284972,0.028153153,5,177.6,out/pair_20170714_03_04_03_timeline.csv,20170714_03_04_03,visible_pair_Human
260,194,169,1.194216571,0.147085291,0.016825575,3,178.3,out/pair_20170714_05_06_01_timeline.csv,20170714_05_06_01,visible_pair_Human
272,210,177,-1.353592562,0.938206179,0,0,178.3,out/pair_20170714_05_06_02_timeline.csv,20170714_05_06_02,visible_pair_Human
274,244,200,0.191669748,0.488451155,0,0,178.4,out/pair_20170714_05_06_03_timeline.csv,20170714_05_06_03,visible_pair_Human
196,164,120,0.384671766,0.399260074,0,0,178.6,out/pair_20170714_07_08_01_timeline.csv,20170714_07_08_01,visible_pair_Human
235,165,139,0.405020269,0.400159984,0.017035775,3,176.1,out/pair_20170714_07_08_02_timeline.csv,20170714_07_08_02,visible_pair_Human
227,186,147,0.327058206,0.411458854,0.016806723,3,178.5,out/pair_20170714_07_08_03_timeline.csv,20170714_07_08_03,visible_pair_Human
